Name,Link,Price_AMD,Price_USD,State,City,Address,Category,Review_Count,Average_Score,Free_WiFi,Breakfast_Included,Free_Parking,Swimming_Pool
Prime Hotel & Hostel,https://www.tripadvisor.com//Hotel_Review-g293932-d10309061-Reviews-Prime_Hotel_Hostel-Yerevan.html,12954.0,27.0,Yerevan,Yerevan,Nalbandyan str. 31,Specialty Lodging,18,3.61111111111111,1,1,0,0
Primer Hotel,https://www.tripadvisor.com//Hotel_Review-g293932-d2214444-Reviews-Primer_Hotel-Yerevan.html,13260.0,27.0,Yerevan,Yerevan,"Ulnetsi St., 58",B&Bs,39,4.12820512820513,1,0,1,0
Princ Plaza Hotel,https://www.tripadvisor.com//Hotel_Review-g293932-d6153148-Reviews-Princ_Plaza_Hotel-Yerevan.html,9900.0,20.0,Yerevan,Yerevan,Davitashen 52,B&Bs,18,4.5,1,0,0,0
Prince Hotel,https://www.tripadvisor.com//Hotel_Review-g2711245-d8426044-Reviews-Prince_Hotel-Kapan_Syunik_Province.html,24367.0,50.0,Syunik Province,Kapan,Shahumyan Street 37a,Specialty Lodging,8,3.71428571428571,0,0,0,0
R&K,https://www.tripadvisor.com//Hotel_Review-g293932-d14002102-Reviews-R_K-Yerevan.html,7990.0,16.0,Yerevan,Yerevan,1 Yeznik Koghbatsi Street,Other,0,0.0,0,0,0,0
Radiance Hostel and Tours,https://www.tripadvisor.com//Hotel_Review-g293932-d13495955-Reviews-Radiance_Hostel_and_Tours-Yerevan.html,7492.0,15.0,Yerevan,Yerevan,Mher Mkrtchyan Street 01,Specialty Lodging,6,4.33333333333333,1,0,1,0
Radiance2 Hostel,https://www.tripadvisor.com//Hotel_Review-g293932-d13949515-Reviews-Radiance2_Hostel-Yerevan.html,3325.0,7.0,Yerevan,Yerevan,Tarsona str. 10,Other,0,0.0,0,0,0,0
"Radisson Blu Hotel, Yerevan",https://www.tripadvisor.com//Hotel_Review-g293932-d10518419-Reviews-Radisson_Blu_Hotel_Yerevan-Yerevan.html,36001.0,74.0,Yerevan,Yerevan,Azatutyan ave 2/2,Hotel,129,4.72093023255814,1,0,1,0
Raffik's B&B,https://www.tripadvisor.com//Hotel_Review-g293932-d2136573-Reviews-Raffik_s_B_B-Yerevan.html,12492.0,26.0,Yerevan,Yerevan,40 Pushkin street,B&Bs,1,4.0,0,0,0,0
Rancho Alexandrapol,https://www.tripadvisor.com//Hotel_Review-g815353-d12952933-Reviews-Rancho_Alexandrapol-Gyumri_Shirak_Province.html,23333.0,48.0,Shirak Province,Gyumri,Vardbagh 15,Other,0,0.0,0,0,1,0
Red House on Kalinino,https://www.tripadvisor.com//Hotel_Review-g1160895-d12684227-Reviews-Red_House_on_Kalinino-Dilijan_Tavush_Province.html,12000.0,25.0,Tavush Province,Dilijan,Ulitsa Kalinino 96,Other,0,0.0,1,0,1,0
Red House,https://www.tripadvisor.com//Hotel_Review-g13109039-d13082337-Reviews-Red_House-Kasakh_Yerevan.html,21090.0,43.0,Yerevan,Yerevan,Urenineri 27 4,Other,0,0.0,1,0,1,0
Renesance Resort,https://www.tripadvisor.com//Hotel_Review-g2151208-d13827410-Reviews-Renesance_Resort-Tsakhkadzor_Kotayk_Province.html,36001.0,74.0,Kotayk Province,Tsakhkadzor,Mayisyan Street,Other,0,0.0,0,0,0,0
Rent In Yerevan - Apartment On Mashtots Ave.,https://www.tripadvisor.com//Hotel_Review-g293932-d15662054-Reviews-Rent_In_Yerevan_Apartment_On_Mashtots_Ave-Yerevan.html,18000.0,37.0,Yerevan,Yerevan,Mashtots Ave.,Other,0,0.0,0,0,0,0
Republic Square Boutique Hotel,https://www.tripadvisor.com//Hotel_Review-g293932-d11791693-Reviews-Republic_Square_Boutique_Hotel-Yerevan.html,12990.0,27.0,Yerevan,Yerevan,"Zaqyan St., 5/3",Specialty Lodging,14,4.35714285714286,1,0,1,0
Republic Square Hostel,https://www.tripadvisor.com//Hotel_Review-g293932-d11771505-Reviews-Republic_Square_Hostel-Yerevan.html,9992.0,21.0,Yerevan,Yerevan,3 Pushkin Street,Specialty Lodging,6,4.25,1,0,1,0
Republica Hotel Yerevan,https://www.tripadvisor.com//Hotel_Review-g293932-d6731098-Reviews-Republica_Hotel_Yerevan-Yerevan.html,45000.0,93.0,Yerevan,Yerevan,Amiryan str. 7/1,Hotel,696,4.73737373737374,1,1,0,0
Reset Lounge 84,https://www.tripadvisor.com//Hotel_Review-g293932-d14901185-Reviews-Reset_Lounge_84-Yerevan.html,5592.0,12.0,Yerevan,Yerevan,9th Street 39 A,Specialty Lodging,1,5.0,1,0,0,0
Residence Yezeguelian,https://www.tripadvisor.com//Hotel_Review-g293932-d15872071-Reviews-Residence_Yezeguelian-Yerevan.html,12000.0,25.0,Yerevan,Yerevan,M. Khorenatsi 1 D/st 24/2,Other,0,0.0,0,0,0,0
Resort MJA,https://www.tripadvisor.com//Hotel_Review-g1055321-d10497219-Reviews-Resort_MJA-Sisian_Syunik_Province.html,20825.0,43.0,Syunik Province,Sisian,Syunik Strret,B&Bs,7,3.85714285714286,1,0,1,0
Rest House Dilijan,https://www.tripadvisor.com//Hotel_Review-g1160895-d16651953-Reviews-Rest_House_Dilijan-Dilijan_Tavush_Province.html,30000.0,62.0,Tavush Province,Dilijan,Kamo 55,Other,0,0.0,0,0,0,0
Restland Dilijan Hotel On Sayat Nova,https://www.tripadvisor.com//Hotel_Review-g1160895-d15273888-Reviews-Restland_Dilijan_Hotel_On_Sayat_Nova-Dilijan_Tavush_Province.html,37284.0,77.0,Tavush Province,Dilijan,Sayat Nova 69 B,Other,0,0.0,0,0,0,0
Restland Dilijan Hotel,https://www.tripadvisor.com//Hotel_Review-g1160895-d12285261-Reviews-Restland_Dilijan_Hotel-Dilijan_Tavush_Province.html,14900.0,31.0,Tavush Province,Dilijan,Sayat Nova 69B,B&Bs,1,3.0,0,0,0,0
Retro City Apartments At Abovyan Street,https://www.tripadvisor.com//Hotel_Review-g293932-d16736905-Reviews-Retro_City_Apartments_At_Abovyan_Street-Yerevan.html,27000.0,56.0,Yerevan,Yerevan,"13 Abovyan str., Apt. 3",Other,0,0.0,0,0,0,0
